observation_date,Predicted_FedFunds_With_II,Predicted_FedFunds_Without_II
2007-01-01,5.196562632840565,5.188316240504529
2007-04-01,5.168438218212372,5.155555661522916
2007-07-01,5.160253491729787,5.162180499950651
2007-10-01,4.998594973715473,4.938697768646129
2008-01-01,4.19069011403293,4.218990122073565
2008-04-01,2.9091149435856622,3.014300294199225
2008-07-01,1.8263081969402726,2.044802694987795
2008-10-01,1.3453534445543263,1.0084401463972883
2009-01-01,0.36225824850969357,0.4290693492765283
2009-04-01,0.18126794420862063,0.40996474530227683
2009-07-01,0.18126794420862063,0.40996474530227683
2009-10-01,0.16696043304500133,0.40996474530227683
2010-01-01,0.14613798652985943,0.40996474530227683
2010-04-01,0.15075572213877897,0.4803470686184792
2010-07-01,0.2081389393274117,0.5100686918734777
2010-10-01,0.2048741177658054,0.524387509775419
2011-01-01,0.19915838528168137,0.4836364558335592
2011-04-01,0.14733208713957713,0.5083105992104732
2011-07-01,0.0884426444178629,0.463902198906607
2011-10-01,0.0879369151904712,0.5109836738268727
2012-01-01,0.087769980809431,0.7636544352118136
2012-04-01,0.10983157389769471,0.7658188583201916
2012-07-01,0.14424271782571163,0.5195407041880592
2012-10-01,0.14403985299532787,0.5083105992104732
2013-01-01,0.1583624586650405,0.5518817722999082
2013-04-01,0.14412832329299585,0.524387509775419
2013-07-01,0.14017098696853103,0.7967149325090866
2013-10-01,0.09254000423688519,1.0423091867714775
